alacritty 0.17.0-1
amf-headers 1.5.0-1
awww 0.12.0-1
base 3-3
base-devel 1-2
bibata-cursor-theme-bin 2.0.7-1
bluez 5.86-6
bluez-utils 5.86-6
brave-bin 1:1.90.122-1
btop 1.4.7-1
cava 0.10.7-1
cliphist 1:0.7.0-2
cmake 4.3.2-1
cmatrix 2.0-4
cosmic-bg 1:1.0.13-1
cosmic-comp 1:1.0.13-1
cosmic-greeter 1:1.0.13-1
cosmic-idle 1:1.0.13-1
cosmic-initial-setup 1:1.0.13-1
cosmic-launcher 1:1.0.13-1
cosmic-randr 1:1.0.13-1
cosmic-session 1:1.0.13-1
cosmic-settings 1:1.0.13-1
cosmic-settings-daemon 1:1.0.13-1
cosmic-terminal 1:1.0.13-1
cosmic-wallpapers 2:1.0.13-1
cosmic-workspaces 2:1.0.13-1
cowsay 3.8.4-1
ddcutil 2.2.7-1
evolution-data-server 3.60.1-3
extra-cmake-modules 6.26.0-1
fastfetch 2.63.1-1
firefox 150.0.3-1
fuzzel 1.14.1-1
fzf 0.72.0-1
gammastep 2.0.11-2
gcc 16.1.1+r12+g301eb08fa2c5-1
git 2.54.0-1
google-chrome 148.0.7778.167-1
gpu-screen-recorder 5.13.6-1
gst-plugin-pipewire 1:1.6.5-1
gst-plugins-bad 1.28.3-1
gst-plugins-good 1.28.3-1
gst-plugins-ugly 1.28.3-1
gwenview 26.04.1-1
htop 3.5.1-1
intel-ucode 20260512-1
iw 6.17-1
jdk-openjdk 26.0.1.u8-1
jq 1.8.1-3
kitty 0.46.2-1
lazygit 0.61.1-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.3-2
libva-intel-driver 2.4.1-6
libva-nvidia-driver 0.0.17-1
linux 7.0.8.arch1-1
linux-firmware 20260410-1
luarocks 3.13.0-5
make 4.4.1-3
mako 1.11.0-1
matugen 4.1.0-1
mpv 1:0.41.0-3
nano 9.0-1
neovim 0.12.2-1
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
niri 26.04-1
noctalia-shell 4.7.7-1
nodejs 26.1.0-2
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 11.14.1-1
nvidia-open 595.71.05-9
nvtop 3.3.2-1
obs-studio 32.1.2-2
obs-studio-plugin-browser 32.1.2-2
papirus-icon-theme 20250501-1
paru 2.1.0-2
paru-debug 2.1.0-2
perl 5.42.2-1
pipes.sh 1.3.0-1
pipewire 1:1.6.5-1
pipewire-alsa 1:1.6.5-1
pipewire-jack 1:1.6.5-1
pipewire-pulse 1:1.6.5-1
polkit-kde-agent 6.6.5-1
power-profiles-daemon 0.30-1
qt6-websockets 6.11.1-1
refind 0.14.2-2
ripgrep 15.1.0-2
shellcheck 0.11.0-107
smartmontools 7.5-1
sof-firmware 2025.12.2-1
spectacle 1:6.6.5-1
spotify 1:1.2.86.502-1
stow 2.4.1-1
sudo 1.9.17.p2-2
swaybg 1.2.2-1
swaylock-effects 1.7.0.0-4
swaync 0.12.6-1
testdisk 7.2-2
tree-sitter 0.26.8-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
tty-clock 2.3-2
unzip 6.0-23
usbmuxd 1.1.1-4
vim 9.2.0450-1
walker-bin 2.16.2-1
waybar 0.15.0-2
wayland-protocols 1.48-1
wget 1.25.0-4
wireless_tools 30.pre9-5
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wlsunset 0.4.0-1
wpa_supplicant 2:2.11-5
xdg-desktop-portal-cosmic 1:1.0.13-1
xdg-desktop-portal-gnome 50.0-1
xdg-desktop-portal-hyprland 1.3.12-2
xdg-desktop-portal-wlr 0.8.2-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xwayland-satellite 0.8.1-1
yay 12.5.7-1
yay-debug 12.5.7-1
yazi 26.5.6-2
zram-generator 1.2.1-1
zsh 5.9-6
zsh-completions 0.36.0-1
